                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72433,                  1.884,                 1.0255,                0.92488,                0.81335,                0.90825,                0.77196,                 0.6406,                 1.3254,                0.93153,             0.00047283,             0.00047283,             0.00047283
                      2,                0.73505,                 1.2551,                 1.0185,                0.95741,                0.79556,                0.90631,                0.76597,                0.61699,                 1.0039,                0.91811,             0.00090218,             0.00090218,             0.00090218
                      3,                 0.7348,                 1.0489,                 1.0113,                0.89351,                0.84657,                0.91647,                0.78336,                0.60632,                0.86441,                0.92135,              0.0012844,              0.0012844,              0.0012844
                      4,                0.70956,                 0.8841,                 1.0059,                0.96161,                0.82809,                0.91025,                0.76941,                0.71183,                0.86826,                0.99539,              0.0012168,              0.0012168,              0.0012168
                      5,                0.66269,                0.76042,                0.98725,                0.90477,                0.90765,                0.94851,                0.81827,                0.64193,                 0.6083,                0.92605,              0.0011461,              0.0011461,              0.0011461
                      6,                0.62717,                0.68161,                0.96698,                0.91707,                0.93324,                0.95535,                0.84527,                0.53162,                0.52765,                0.87631,              0.0010753,              0.0010753,              0.0010753
                      7,                0.61291,                 0.6535,                0.96243,                0.96797,                0.92458,                0.96926,                0.82886,                0.62215,                0.48264,                 0.9111,              0.0010046,              0.0010046,              0.0010046
                      8,                0.59402,                 0.5982,                0.95072,                0.95001,                0.93359,                0.97296,                0.84288,                0.56978,                0.50969,                0.89123,             0.00093385,             0.00093385,             0.00093385
                      9,                 0.5586,                0.56549,                0.94081,                0.97872,                0.92975,                0.98229,                0.86757,                0.51548,                0.44178,                0.87811,             0.00086312,             0.00086312,             0.00086312
                     10,                0.53189,                0.53318,                0.93941,                0.94574,                0.93981,                0.97569,                0.87178,                0.47353,                0.41986,                0.85752,             0.00079238,             0.00079238,             0.00079238
                     11,                0.43724,                0.40625,                 0.8724,                0.95836,                0.94842,                  0.968,                0.87632,                0.44333,                0.43527,                0.84775,             0.00072164,             0.00072164,             0.00072164
                     12,                  0.418,                0.37355,                 0.8617,                0.96578,                0.91464,                0.95455,                0.88143,                0.43305,                0.47981,                0.83807,             0.00065091,             0.00065091,             0.00065091
                     13,                0.40555,                0.34945,                0.85371,                0.96825,                0.94932,                0.97081,                0.87965,                0.45994,                0.39311,                0.85287,             0.00058017,             0.00058017,             0.00058017
                     14,                0.39124,                0.34018,                0.85224,                 0.9714,                0.93272,                0.97032,                0.89687,                0.43622,                0.39034,                0.85045,             0.00050944,             0.00050944,             0.00050944
                     15,                0.37542,                0.31154,                0.84652,                0.95926,                0.96378,                0.98049,                0.90619,                0.40476,                0.33981,                0.83095,              0.0004387,              0.0004387,              0.0004387
                     16,                0.34571,                0.29521,                 0.8356,                0.94855,                0.95103,                0.97791,                0.91952,                0.37038,                0.34432,                0.81712,             0.00036797,             0.00036797,             0.00036797
                     17,                 0.3299,                0.27998,                0.83172,                0.95716,                0.94503,                0.97604,                 0.9101,                0.39024,                0.35926,                0.81689,             0.00029723,             0.00029723,             0.00029723
                     18,                0.31418,                 0.2612,                0.82319,                0.96737,                0.95456,                0.97412,                0.91419,                 0.3721,                0.32772,                0.81111,              0.0002265,              0.0002265,              0.0002265
                     19,                0.29825,                0.24601,                0.82192,                0.96749,                0.94764,                0.97607,                0.92067,                0.35886,                 0.3179,                0.81201,             0.00015576,             0.00015576,             0.00015576
                     20,                0.28516,                0.23192,                0.81697,                0.97416,                0.95088,                0.97956,                0.92506,                0.35355,                0.31577,                0.80901,             8.5026e-05,             8.5026e-05,             8.5026e-05
